Name,RA,DEC,DMobs,DMmw,Redshift
FRB20230708A,20:12:27.3,-55:21:22.6,411.51,50.0,0.105
FRB20191106C,13:18:19.23,+42:59:58.97,332.2,25.0,0.10775
FRB20220914A,18:48:13.63,+73:20:12.9,631.28,55.2,0.1139
FRB20190608,22:16:04.74,-7:53:53.6,339.5,37.2,0.11778
FRB20190110C,16:37:16.43,+41:26:36.30,221.6,37.1,0.12244
FRB20240310A,01:20:29.25,-44:26:21.9,601.8,36.0,0.127
FRB20240213A,11:04:40.39,+74:04:31.40,357.4,32.1,0.1185
FRB20230628A,11:07:08.81,+72:16:54.64,345.15,30.83,0.1265
FRB20210807D,19:56:53.14,-00:45:44.50,251.3,121.2,0.1293
FRB20240114A,21:27:39.835,+4:19:45.634,527.7,38.82,0.13
FRB20210410D,21:44:20.7,-79:19:05.5,578.78,56.2,0.1415
FRB20231226A,10:21:27.3,+06:06:36.9,329.9,145.0,0.1569
FRB20230526A,1:28:55.83,-52:43:02.4,361.4,50.0,0.157
FRB20220920A,16:01:01.70,+70:55:07.7,314.99,40.3,0.158239
FRB20200430,15:18:49.54,+12:22:36.8,380.25,27.0,0.16
FRB20210603A,0:41:05.774,+21:13:34.573,500.147,40.0,0.177
FRB20220529A,01:16:25.01,+20:37:57.03,246.0,30.92,0.1839
FRB20220725A,23:33:16.65,-35:59:24.9,290.4,31.0,0.1926
FRB20121102,5:31:58,+33:08:04,557.0,188.0,0.1927
FRB20221106A,3:46:49.15,-25:34:11.3,343.8,35.0,0.2044
FRB20240215A,17:53:45.90,+70:13:56.50,549.5,42.8,0.21
FRB20210117A,22:39:55.015,-16:09:05.45,728.95,34.4,0.214
FRB20221027A,08:43:29.23,+72:06:03.50,452.5,40.59,0.229
FRB20191001,21:33:24.373,-54:44:51.43,507.9,44.7,0.234
FRB20190714,12:15:55.12,-13:01:15.7,504.13,39.0,0.2365
FRB20221101B,22:48:51.89,+70:40:52.20,490.7,192.35,0.2395
FRB20190520B,16:02:04.266,-11:17:17.33,1210.3,113.0,0.241
FRB20220825A,20:47:55.55,+72:35:05.9,651.24,79.7,0.241397
FRB20191228,22:57:43.3,-29:35:38.7,297.5,33.0,0.2432
FRB20220307B,23:23:29.88,+72:11:32.6,499.27,135.7,0.248123
FRB20221113A,04:45:38.64,+70:18:26.60,411.4,115.37,0.2505
FRB20220831A,22:34:46.93,+70:13:56.50,1146.25,187.94,0.262
FRB20231123B,16:10:09.16,+70:47:06.20,396.7,33.81,0.2625
FRB20230307A,11:51:07.52,+71:41:44.30,608.9,29.47,0.271
FRB20221116A,01:24:50.45,+72:39:14.10,640.6,196.17,0.2764
FRB20220105A,13:55:12.94,+22:27:59.40,580.0,22.0,0.2785
FRB20210320C,13:37:50.1,-16:07:21.6,384.8,42.0,0.2797
FRB20221012A,18:43:11.69,+70:31:27.2,441.08,54.4,0.284669
FRB20240229A,11:19:56.05,+70:40:34.40,491.15,29.52,0.287
FRB20190102,21:29:39.76,-79:28:32.5,364.5,57.3,0.2913
FRB20220506D,21:12:10.76,+72:49:38.2,396.97,89.1,0.30039
FRB20230501A,22:40:06.52,+70:55:19.82,532.5,180.18,0.301
FRB20180924,21:44:25.3,-40:54:00.1,361.42,40.5,0.3214
FRB20230626A,15:42:31.10,+71:08:00.77,451.2,32.51,0.327
FRB20180301,6:12:54.44,+4:40:15.8,536.0,152.0,0.3304
FRB20231220A,08:15:38.09,+73:39:35.70,491.2,44.55,0.3355
FRB20211203C,13:38:15.00,-31:22:48.20,635.0,63.0,0.3439
FRB20220208A,21:30:18.03,+70:02:27.75,437.0,128.79,0.351
FRB20220726A,04:55:46.96,+69:55:44.80,686.55,111.42,0.361
FRB20230902A,3:28:33.55,-47:20:00.6,440.1,34.0,0.3619
FRB20200906,3:3:59.08,-14:04:59.5,577.8,36.0,0.3688
FRB20240119A,14:57:52.12,+71:36:42.33,483.1,30.98,0.37
FRB20220330D,10:55:00.30,+70:21:02.70,468.1,57.83,0.3714
FRB20190611,21:22:58.91,-79:23:51.3,321.4,43.67,0.378
FRB20220501C,23:29:31.00,-32:29:26.6,449.5,31.0,0.381
FRB20220204A,18:16:54.30,+69:43:21.01,612.2,46.02,0.4
FRB20230712A,11:09:26.05,+72:33:28.02,586.96,30.93,0.4525
FRB20181112,21:49:23.63,-52:58:15.39,589.27,102.0,0.4755
FRB20220310F,8:58:52.9,+73:29:27.0,462.24,45.4,0.477958
FRB20220918A,1:10:22.11,-70:48:41.0,656.8,41.0,0.491
FRB20190711,57:40.7,-80:21:28.8,593.1,56.4,0.522
FRB20230216A,10:25:53.32,+03:26:12.57,828.0,27.05,0.531
FRB20230814A,22:23:53.94,+73:01:33.26,696.4,137.83,0.5535
FRB20221219A,17:10:31.15,+71:37:36.63,706.7,38.59,0.554
FRB20190614,4:20:18.13,+73:42:22.9,959.2,83.5,0.6
FRB20220418A,14:36:25.34,+70:05:45.4,623.25,37.6,0.622
FRB20190523,13:48:15.6,+72:28:11,760.8,37.0,0.66
FRB20240123A,04:33:03.00,+71:56:43.02,1462.0,113.01,0.968
FRB20221029A,09:27:51.22,+72:27:08.34,1391.05,36.4,0.975
FRB20220610A,23:24:17.569,-33:30:49.37,1457.624,31.0,1.016
FRB20230521B,23:24:08.64,+71:08:16.91,1342.9,209.66,1.354
