,FRB,Time,RA (FRB),Dec (FRB),S/N,Fluence,DM (pc/cm3),DMErr (pc/cm3),DM_ISM (pc/cm3),Width (ms),z (host),M_r (host),g-r (host),log(M_*) (Msun) (host),SFR 100 Myr (Msun/yr) (host),t_m (Gyr) (host),L_PRS (erg/s/Hz) (host),Host Name,RA (host),Dec (host),m_r (mag) (host),r_e (arcsec) (host),Source,P_host
0,20220207C,59617.808504,20:40:47.886,+72:52:56.378,60.0,16.2,262.38,0.01,79.3,0.5,0.04304,-20.2,0.3,9.91,1.16,6.53,2.3e+28,PSO J310.1977+72.8826,20:40:47.419,+72:52:57.90,16.15,8.356,P,0.99
1,20220307B,59645.845634,23:23:29.88,+72:11:32.6,11.9,3.2,499.27,0.06,135.7,0.5,0.248123,-19.97,0.85,10.04,2.71,0.65,1e+30,PSO J350.8747+72.1918,23:23:29.925,+72:11:30.80,20.45,1.393,P,0.99
2,20220310F,59648.241721,8:58:52.9,+73:29:27.0,68.4,26.2,462.24,0.005,45.4,1.0,0.477958,-20.79,0.99,9.97,4.25,2.13,4.6e+30,PSO J134.7211+73.4910,08:58:53.054,+73:29:27.45,21.2,1.909,P,0.99
3,20220319D,59657.932757,02:08:42.70,+71:02:06.9,41.7,8.0,110.98,0.02,133.3,0.3,0.011228,-20.23,0.46,10.16,0.21,6.3,1.8e+26,IRAS 02044+7048,02:08:40.812,+71:02:09.65,13.25,11.764,P,0.99
4,20220418A,59687.355728,14:36:25.34,+70:05:45.4,10.9,4.2,623.25,0.01,37.6,1.0,0.622,-20.88,0.64,10.31,29.41,4.62,8.6e+30,PSO J219.1065+70.0953,14:36:25.584,+70:05:43.60,22.22,1.29,L,0.97
5,20220506D,59705.597013,21:12:10.76,+72:49:38.2,48.9,13.2,396.97,0.02,89.1,0.5,0.30039,-20.63,1.5,10.29,5.08,0.07,1.5e+30,PSO J318.0447+72.8272,21:12:10.727,+72:49:37.76,19.91,2.425,P,0.98
6,20220509G,59708.4944990805,18:50:40.8,+70:14:37.8,21.5,5.8,269.53,0.02,55.2,0.5,0.0894,-21.34,0.78,10.79,0.23,9.03,1.1e+29,PSO J282.6748+70.2427,18:50:41.916,+70:14:33.95,16.51,3.938,L,0.99
7,20220825A,59816.2572924694,20:47:55.55,+72:35:05.9,15.1,5.8,651.24,0.06,79.7,1.0,0.241397,-19.46,0.87,9.95,1.62,3.46,9.4e+29,PSO J311.9820+72.5848,20:47:55.6,+72:35:06.5,19.36,1.935,P,1.0
8,20220914A,59836.145966,18:48:13.63,+73:20:12.9,9.6,2.6,631.28,0.04,55.2,0.5,0.1139,-18.31,0.52,9.48,0.72,7.5,1.8e+29,PSO J282.0585+73.3363,18:48:13.958,+73:20:10.70,20.05,1.278,L,0.97
9,20220920A,59842.9815705163,16:01:01.70,+70:55:07.7,14.4,3.9,314.99,0.01,40.3,0.5,0.158239,-19.96,0.48,9.81,4.1,3.86,3.6e+29,PSO J240.2568+70.9180,16:01:01.634,+70:55:05.05,19.46,2.116,L,0.99
10,20221012A,59864.0510912293,18:43:11.69,+70:31:27.2,9.4,5.1,441.08,0.7,54.4,2.0,0.284669,-20.94,1.5,10.99,0.15,6.75,1.4e+30,PSO J280.8014+70.5242,18:43:12.3,+70:31:27.2,19.67,3.096,L,1.0
