frb,ra (deg),dec (deg),redshift,dm
FRB 20190619E,29.503125,65.71675278,0.0337,348.76
FRB 20150517A,83.00416667,33.13222222,0.19273,560
FRB 20190520B,240.5177917,-11.28814444,0.241,1202
FRB 20190102C,322.4156667,-79.47569444,0.291,363.6
FRB 20180924B,326.1052292,-40.90002778,0.3214,361.42
FRB 20190611B,320.7454583,-79.39758333,0.378,321.4
FRB 20181112A,327.3484583,-52.97094167,0.4755,589.27
FRB 20190523A,207.065,72.46972222,0.66,760.8
FRB  20211127A,199.8088,-18.8381,0.0469,234.83
FRB  20211212A,157.3507,1.3605,0.0713,206
FRB  20190608A,334.0199,-7.8982,0.1178,339.5
FRB  20200430A,229.7066,12.3761,0.1608,380.1
FRB  20191001A,323.3516,-54.7477,0.234,506.92
FRB  20190714A,183.9795,-13.0207,0.2365,504.7
FRB  20180924B,326.1052,-40.9,0.3212,362.4
FRB  20200906A,53.4956,-14.0833,0.3688,577.8
